"puzzle","difficulty","score"
"...253..87..1.......1....4...8.94...5.......71.95.8....1......2...785...3.4.2....","Very Easy","224"
"43...7.2..1.3.9.4...725..6.95....6...6.........2.............73.41.6.9..57.9.....","Very Easy","220"
"..5..281...........3.9.....6.8.9.....9.5.4....53.6.........8.5..41.......6.135..2","Very Easy","228"
"81.4.5...........625..3.....64......57..26......84...162..1..8...5..2...3...5..67","Very Easy","216"
"...........35.4....8127.4.5.45.37..1.9..2...82.891.5.7..4....2....1..8........15.","Very Easy","208"
"...1864....8.5..2.4.53......43.......2.........1..5........81..1.2..963......495.","Very Easy","274"
".9.45..236..1..4.....2.6.9....365..95.1.....8.......3......4....4.9....5....3.1..","Very Easy","294"
".95......43.5...8916......5.....482..2..3.5.....8.6.432.6.9...4.1.........9......","Very Easy","290"
"6.3.1.7.5..56..18......7.9....3.4.6...6.958.....8......74........84..5.....58....","Very Easy","220"
".8139.62....8..35....12....2.....9...7.6...8.......5.7...9..8....5...1....32....5","Very Easy","224"
"4.......5.6..3.1.....5.2.3.......25.3..98......1.24..8......8.21.4..8.9....34....","Easy","354"
"..8..5......9...7....2...95......5.......4..3.79...21...2.........87.3...3..1.98.","Easy","386"
"9...83..6.56.1.7........1....4..86..3..7.4....18.....5.........8.5..6..9........8","Easy","442"
"..871...3.3..4...8716.......4.13.5....7.6....8..4..1.....2......7.3....6.2...48..","Easy","400"
"...68.23..8.3725................4.75..8.1....1..76...4..2.4.71.6.713....5.....6..","Easy","302"
".81.............6...7..8..9..4.......9517.4.3.7..3........835..5....68...39.456..","Easy","320"
"52.8.1.3...725........3.2.6....2.....9.........3...8..31..76..8.6....1972.......3","Easy","330"
"6...3.5.4.27..9.3...91..2......1...69.......74.13......5.......1.3.6....7.......3","Easy","408"
".6.2............6...58......9.1...782.7....3..81..5....3..68..2...72.6..6...3..85","Easy","420"
"....59.......6.....4...1.5.8.2.....5......4.3.91...2......8..62.5...489...9.26..1","Easy","314"
".9.5.1..8....4.....1.6.2.......2..9............9..547.52....6.1.....854.4.8.....7","Medium","618"
"..52.1...14.68.9.2....5981.7...6...4..............41.9......2..2..54....957....8.","Medium","426"
".2.3..5...1..........6.......9....341...4...94...261.......1......59..4869...4..5","Medium","478"
"1.97.5...7.2.......3..9..6........2........59...43......16..79..762......2..4...3","Medium","918"
"..82..7..5....9.1..79.5.2...9....67.....9.3.1..6....2.........63...7.59....6.213.","Medium","506"
".........9...4..1..7.....9.15....2.6.93..7.54.2..5.......13472....7...692....9.43","Medium","412"
"6...2....2.1.35.7...5.17...1..........2.6.3...8.3....5.5....2....71..54.....4....","Medium","468"
"..492..1.....5.8.2........3.18.......9.3....1..74.8.3..3.2....6..1....7..2.8.....","Medium","668"
"64.7.......9..1......3..41.2......8...6....7.....3......3..2..6.9.1..84...849.7.3","Medium","524"
"....3...81..6..9...845..17.9518..4.....3..6.....79...1.........438.....67........","Medium","564"
".43......5..8...2.1....3.5.....475...2.6......653..7.8......63.28.........7.5....","Hard","1358"
"....6....3..9...5.....7.......6.98....7...6...59.....3.8.4.356...1.8...97..5...3.","Hard","788"
".4.....971..5...6...........9..71.23.6.2.3..4.23.9....5....4..1....1.63........7.","Hard","944"
"3.2.6..5..182...6...5...94....4.........16.346...5........3..815....4......19....","Hard","1094"
"8..49..........9....1......3..1.8...5.4..9..8.....75.14...3.895.6.....3.......4..","Hard","1102"
".8......1.......3...4.6...8......7....6.8....47....8653.5..72...2...1...6..4...7.","Hard","1022"
"...8.2.6.7429......5.........9.8.4.........81...2.5...19.....5.4..79.6..6....1...","Hard","908"
"38..............3....76.9..61...2......94.......1.6...93..2.47..48..7.2...7..8.93","Hard","880"
"....241..........2.9....83......5..89...7..1...2.9.5...4.1..9..3.528.4......4.7..","Hard","804"
"....9.6..6...1..4559...8.........562........8.2....19.27...9..6..15.....4.876..1.","Hard","1466"
"98..4.1.6..4..2...6....3.548.215.........4.......9....4.6.......9..6...1..52.....","Very Hard","1458"
"...9..7...8...495..1.....3....2............41.54.312..7.1.5..93.2....8...95......","Very Hard","1204"
".4....1......76...87.....65.5..8...248.23.7....35.1.......1...823..........4..3..","Very Hard","1734"
"......5....5...8926....8.3..4.8......8.67....76.3.2..5.......7...2.67..4...5..9..","Very Hard","1394"
".19....7.2......9..7......8.....4.82..7.9....6........4.65.1....5...746....4.8..1","Very Hard","1728"
"....73....6.5.......31....5..6..81.....95...7.8..64....746...9.......3...3..47...","Very Hard","1478"
".9..67..8.........6...8..1.....98.4.............421.97.4...2..9.1...96..36....1..","Very Hard","1618"
"81.....7.......2.......615.5..4.......7.68.9....12...498....6...64..17....5......","Very Hard","1468"
"..7.6....89..145....4..27.8..........7...62.1.....5....8..479625...281.7.....18..","Very Hard","1488"
"9.7...6....183......87.4.3.6.9.817.........963.....81......5....5.94.......1...47","Very Hard","1536"
".........7...1846.8..4...2.1.6...3..23......4.89..6....48.3......1692..89..1.....","Very Hard","1346"
"..325.86.....9..3.856.734........7..9.2........8....4..2...65........98...4.3..2.","Expert","1886"
".2586...9......6.7..8.4............2.69....5.4...8.9...9..5..2...7...51...1..4..8","Expert","4594"
"2...4......41.3.82..1..7..3...2.....64...1......496....1.3.96..98........3..6..1.","Expert","2020"
"3.....1.2.....4....45832.76....7....7.462...5...3.5.....3.......86.5.....72..6.3.","Expert","2226"
"..1............23.36.9.1.4....1...2.4.6..........7.1.91397......8.....7...724.9..","Expert","2294"
"..516..37....9.........8..1.........1..5.6..8.6...327..7..3..6.98.62...3....57.8.","Expert","4256"
"751.......3...........1.6.8.7.....4.6.2...7..1........5..2.68.....45..2....7...53","Expert","1932"
".9.4.............5...9.......5.6.9.7..7.2...136..1..2.4..69.7..5..1.34....32.....","Expert","1904"
"..2..7.6.81.........7.98...1..2..9..4..85......9.......8...65..2......845..1..2.6","Expert","3504"
".1.5...8.3.92.........1...682....35...1..26.8.........4..63.9..58......2.......6.","Expert","4308"
"..423...56..9.5.3.....4..6...5.1...2......39.7.942....5.....9.6.2.........3...1..","Nightmare","7174"
"..5....9....4.15..9.....2.......9.6......71.2..75.8...7....692..84.7....2.......8","Nightmare","9518"
"..947.2..65.29......4.8..39....4.....8....37.........6.3.6..45...7.....8.6...8...","Nightmare","6444"
".3...6..49....1..2.7.29.6...5...74...1.6...37...9.....6.3.....114.....2...7.2....","Nightmare","7736"
"....5.........7.23...1..58..45.7..6.1..32..4..32..471....4..........2.56..7.85..4","Nightmare","8874"
"..3..6...2...8...5.7.2...6..596...3...73.....8....519........5......387....1..2..","Nightmare","6854"
".795...8...83....5.........29......71..8....2..3.......3.71.4....4..81...5..93.7.","Nightmare","7930"
".....74...........624..3.7.7...3.........56...63..4.........75..37.4612991..5..6.","Nightmare","6356"
"2....1.....1....5.687.2.3..86.......9.27.....1.5.....9..6..7......95.2.7....136..","Nightmare","6216"
"839.........53...957......29......15....9.6...2.65.3.7...3...7....2.6.......8.1.6","Diabolical","14162"
"..13.....5.4..13..........2......4.33.682.....5.7........1.6...6.3..75.8..253....","Diabolical","10900"
".....5..44.17....2.2.1.4.8....36......7....5.......8..2....3.473..512....8.......","Diabolical","10944"
"...79862.............63.8.1....8.7..81..27......3.......4...1..62...1.8.7..26.94.","Diabolical","12654"
".7.1.....1.2.6..78..3..71.5.278...5.6.1.......4......6...6....2....425.7..4.3....","Diabolical","10532"
".162...4.5..9......9....2...65..4.....3..2......6.8.....1.8...6..4....5.6..3...14","Diabolical","12178"
".861........7.4.8.4....51......7..5..4......61.7..28.32.5..........582...1......7","Diabolical","10392"
"..5..943...8.2.7.51....5.89.....3..4......8....95.....2...8.19...3..1...9..4.2...","Diabolical","11776"
"6....3.7..3..2.569.27......2...8.15.........656..3.....1.95...8..92....5..2....1.","Diabolical","12298"
"....6.8.1...4....2.2.98.67...2.....8.9.6...5.46.87.1...7..4.9....6...517.........","Diabolical","10292"
